"Year","Legislative Branch","Judicial Branch","Department of Agriculture","Department of Commerce","Department of Defense--Military Programs","Department of Education","Department of Energy","Department of Health and Human Services","Department of Homeland Security","Department of Housing and Urban Development","Department of the Interior","Department of Justice","Department of Labor","Department of State","Department of Transportation","Department of the Treasury","Department of Veterans Affairs","Corps of Engineers--Civil Works","Other Defense Civil Programs","Environmental Protection Agency","Executive Office of the President","General Services Administration","International Assistance Programs","National Aeronautics and Space Administration","National Science Foundation","Office of Personnel Management","Small Business Administration","Social Security Administration","Other Independent Agencies","Undistributed Offsetting Receipts","Total"
1996,0.1,0.2,3.5,0.2,16.2,1.9,1,20.5,0.6,1.6,0.4,0.7,2.1,0.4,2.3,23.3,2.4,0.2,1.9,0.4,0,0,0.6,0.9,0.2,2.7,0.1,24,0.2,-8.7,100
1997,0.1,0.2,3.3,0.2,16.1,1.9,0.9,21.2,0.7,1.7,0.4,0.8,1.9,0.4,2.3,23.6,2.5,0.2,1.9,0.4,0,0.1,0.6,0.9,0.2,2.8,0,24.5,-0.2,-9.7,100
1998,0.2,0.2,3.3,0.2,15.5,1.9,0.9,21.2,0.6,1.8,0.4,0.8,1.9,0.3,2.2,23.5,2.5,0.2,1.9,0.4,0,0,0.5,0.9,0.2,2.8,0,24.7,0.7,-9.7,100
1999,0.2,0.2,3.7,0.3,15.3,1.8,0.9,21.1,0.8,1.9,0.5,1,1.9,0.4,2.2,22.6,2.5,0.2,1.9,0.4,0,0,0.6,0.8,0.2,2.8,0,24.7,0.5,-9.3,100
2000,0.2,0.2,4.2,0.4,15.7,1.9,0.8,21.4,0.7,1.7,0.4,0.9,1.8,0.4,2.3,21.8,2.6,0.2,1.8,0.4,0,0,0.7,0.8,0.2,2.7,0,24.6,0.6,-9.7,100
2001,0.2,0.2,3.7,0.3,15.6,1.9,0.9,22.9,0.8,1.8,0.4,1,2.1,0.4,2.6,20.8,2.4,0.2,1.8,0.4,0,0,0.6,0.8,0.2,2.7,0,24.7,0.7,-10.3,100
2002,0.2,0.2,3.4,0.3,16.5,2.3,0.9,23.1,0.9,1.6,0.5,1.1,3.2,0.5,2.8,18.5,2.5,0.2,1.7,0.4,0,0,0.7,0.7,0.2,2.6,0,24.3,0.8,-10,100
2003,0.2,0.2,3.4,0.3,18,2.6,0.9,23.4,1.5,1.7,0.4,1,3.2,0.4,2.4,17,2.6,0.2,1.8,0.4,0,0,0.6,0.7,0.2,2.5,0.1,23.5,0.5,-9.7,100
2004,0.2,0.2,3.1,0.3,19.1,2.7,0.9,23.7,1.2,2,0.4,1.3,2.5,0.5,2.4,16.4,2.6,0.2,1.8,0.4,0.1,0,0.6,0.7,0.2,2.5,0.2,23.1,0.2,-9.3,100
2005,0.2,0.2,3.5,0.2,19.2,2.9,0.9,23.5,1.6,1.7,0.4,0.9,1.9,0.5,2.3,16.6,2.8,0.2,1.8,0.3,0.3,0,0.6,0.6,0.2,2.4,0.1,22.7,0.6,-9.2,100
